item,req_id,req_date,requester,status,budget_status,cost
candy,NWUNV/REQ2302418,4/28/2026,QDR0260,Complete,Valid,184.17 USD
tea,NWUNV/REQ2297481,4/15/2026,QDR0260,Complete,Valid,63.08 USD
candy,NWUNV/REQ2296641,4/13/2026,QDR0260,Complete,Valid,420.01 USD
tea,NWUNV/REQ2293614,4/4/2026,QDR0260,Complete,Valid,63.08 USD
candy,NWUNV/REQ2292744,4/1/2026,QDR0260,Complete,Valid,205.25 USD
candy,NWUNV/REQ2281467,3/2/2026,QDR0260,Complete,Valid,214.97 USD
candy,NWUNV/REQ2277851,2/19/2026,QDR0260,Complete,Valid,214.90 USD
candy,NWUNV/REQ2273578,2/9/2026,QDR0260,Complete,Valid,184.38 USD
tea,NWUNV/REQ2268267,1/26/2026,QDR0260,Complete,Valid,189.24 USD
candy,NWUNV/REQ2267639,1/24/2026,QDR0260,Complete,Valid,184.17 USD
candy,NWUNV/REQ2265045,1/15/2026,QDR0260,Complete,Valid,184.17 USD
forks and spoons,NWUNV/REQ2261663,1/7/2026,QDR0260,Complete,Valid,42.97 USD
candy,NWUNV/REQ2261067,1/6/2026,QDR0260,Complete,Valid,272.02 USD
tea,NWUNV/REQ2245168,11/3/2025,QDR0260,Complete,Valid,189.25 USD
"cups, sleeves",NWUNV/REQ2242485,10/27/2025,QDR0260,Complete,Valid,412.03 USD
candy,NWUNV/REQ2240726,10/21/2025,QDR0260,Complete,Valid,148.51 USD
candy,NWUNV/REQ2329568,7/16/2026,SMJ9079,Complete,Valid,276.36 USD
candy tea,NWUNV/REQ2315396,6/4/2026,SMJ9079,Complete,Valid,533.20 USD
candy,NWUNV/REQ2309374,5/18/2026,SMJ9079,Complete,Valid,245.56 USD
candy,NWUNV/REQ2303755,5/1/2026,GUG9743,Complete,Valid,61.46 USD
cup sleeves,NWUNV/REQ2302345,4/28/2026,GUG9743,Complete,Valid,176.78 USD
candy mints,NWUNV/REQ2302122,4/28/2026,GUG9743,Complete,Valid,237.18 USD
creamer,NWUNV/REQ2302061,4/28/2026,GUG9743,Complete,Valid,38.76 USD
creamer,NWUNV/REQ2300600,4/23/2026,GUG9743,Complete,Valid,59.99 USD
candy,NWUNV/REQ2233988,10/1/2025,QDR0260,Complete,Valid,359.58 USD
candy,NWUNV/REQ2231473,9/24/2025,QDR0260,Complete,Valid,184.38 USD
candy,NWUNV/REQ2220475,8/21/2025,QDR0260,Complete,Valid,92.19 USD
candy,NWUNV/REQ2214474,8/5/2025,QDR0260,Complete,Valid,359.58 USD
candy tea,NWUNV/REQ2206895,7/15/2025,QDR0260,Complete,Valid,411.39 USD
"lids, sleeves",NWUNV/REQ2199094,6/20/2025,QDR0260,Complete,Valid,154.01 USD
candy,NWUNV/REQ2197517,6/16/2025,QDR0260,Complete,Valid,359.58 USD
